Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
42702;Kyrönjoki,Hanhikoski;Havaintopaikan tiedot ;SA;Kyrönjoki, 42.021;Isokyrö;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
42804;Kyrönj. Jalasjoki,Pitkäkoski;Havaintopaikan tiedot ;SA;Kyrönjoki, 42.041;Kurikka;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
42809;Kyrönj. Kauhajo.-Jyllinkoski;Havaintopaikan tiedot ;SA;Kyrönjoki, 42.091;Teuva;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
44109;Lapuanjoki,Nurmo;Havaintopaikan tiedot ;SA;Lapuanjoki, 44.091;Lapua;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
44701;Keppo;Havaintopaikan tiedot ;SA;Perämeren rannikkoalue, 84V017;Uusikaarlepyy;Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;1.3.1946;1.3.1991
44802;Lapuanjoki,Pappilankari;Havaintopaikan tiedot ;SA;Lapuanjoki, 44.021;Kauhava;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
47802;Evijärvi-Luusua;Havaintopaikan tiedot ;SA;Ähtävänjoki, 47.021;Evijärvi;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
47803;Ähtävänjoki,Lappajärvi-Luusua;Havaintopaikan tiedot ;SA;Ähtävänjoki, 47.031;Lappajärvi;Etelä-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.3.1991;1.3.1946;1.3.1991
49802;Perhonjoki,Pelonsilta;Havaintopaikan tiedot ;SA;Perhonjoki, 49.021;Kokkola;Keski-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1965;1.4.1980
50100;Jatkojoki,Hyyppä;Havaintopaikan tiedot ;SA;Kälviänjoki, 50.001;Kokkola;Keski-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
51701;Kannus;Havaintopaikan tiedot ;SA;Lestijoki, 51.011;Kalajoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
51804;Lestijärvi-Luusua;Havaintopaikan tiedot ;SA;Lestijoki, 51.041;Lestijärvi;Keski-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
53703;Kalajoki,Raudaskoski;Havaintopaikan tiedot ;SA;Kalajoki, 53.031;Ylivieska;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
53704;Kalajoki,Haapajärvi-Luusua;Havaintopaikan tiedot ;SA;Kalajoki, 53.041;Nivala;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
53801;Kalajoki+Siipojoki;Havaintopaikan tiedot ;SA;Kalajoki, 53.01;Kalajoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.5.1980;1.3.1951;1.5.1980
53802;Kalajoki,Hihnalankoski;Havaintopaikan tiedot ;SA;Kalajoki, 53.021;Kalajoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
54701;Naapurinkallio;Havaintopaikan tiedot ;SA;Pyhäjoki, 54.011;Pyhäjoki;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
