Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
65922;Kaihua;Havaintopaikan tiedot ;SA;Kemijoki, 65.22;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.2.1974;1.2.2026
65983;Lokka+Porttipahta;Havaintopaikan tiedot ;SA;Kemijoki, 65.831;Sodankylä;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1972;1.2.2026
67096;Raanujärvi;Havaintopaikan tiedot ;SA;Tornionjoki, 67.962;Ylitornio;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
67137;Ylläsjoki,Rimpeli;Havaintopaikan tiedot ;SA;Tornionjoki, 67.371;Kolari;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1967;1.4.1980
67496;Vietosen oma alue;Havaintopaikan tiedot ;SA;Tornionjoki, 67.961;Pello;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.12.1990;1.2.2026
67891;Tengeljoki,Portimojärvi;Havaintopaikan tiedot ;SA;Tornionjoki, 67.912;Ylitornio;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1961;1.2.2026
67896;Vietonen;Havaintopaikan tiedot ;SA;Tornionjoki, 67.961;Pello;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
68707;Utsjoki,Patoniva;Havaintopaikan tiedot ;SA;Teno, 68.071;Utsjoki;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1963;1.4.1980
71411;Inarin lähialueet;Havaintopaikan tiedot ;SA;Paatsjoki, 71.111;Inari;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1952;1.2.2026
71721;Juutuanjoki,Saukkoniva;Havaintopaikan tiedot ;SA;Paatsjoki, 71.211;Inari;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
71811;Inari-Luusua;Havaintopaikan tiedot ;SA;Paatsjoki, 71.111;Inari;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
71824;Kettujoki,Kettukoski;Havaintopaikan tiedot ;SA;Paatsjoki, 71.241;Inari;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
71842;Ivalojoki,Pajakoski;Havaintopaikan tiedot ;SA;Paatsjoki, 71.421;Inari;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1952;1.2.2026
73004;Kuusinkijoki-Myllykoski;Havaintopaikan tiedot ;SA;Koutajoki, 73.041;Kuusamo;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.12.1990;1.3.1946;16.12.1990
73801;Oulankajoki,Kiutaköngäs;Havaintopaikan tiedot ;SA;Koutajoki, 73.011;Kuusamo;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.5.1992;1.3.1946;16.5.1992
73802;Kitkajoki,Käylä;Havaintopaikan tiedot ;SA;Koutajoki, 73.021;Kuusamo;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.5.1992;1.3.1946;16.5.1992
74802;Muojärvi,Piiksijoki;Havaintopaikan tiedot ;SA;Vienan Kemi, 74.021;Kuusamo;Pohjois-Pohjanmaa;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
