paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
2253;3509010;Äetsä, ala;W;Vedenkorkeus;35.122;Jatkuva;01.01.1933;18.12.2025;Pirkanmaa
2254;3509110;Pyhäjärvi, Saari;W;Vedenkorkeus;35.931;Jatkuva;01.01.1926;19.12.2025;Kanta-Häme
2256;3509140;Liesjärvi;W;Vedenkorkeus;35.982;Jatkuva;01.01.1963;19.12.2025;Kanta-Häme
2259;3509210;Kuhalankoski, ylä;W;Vedenkorkeus;35.931;Jatkuva;22.03.1937;19.12.2025;Kanta-Häme
2260;3509220;Kuhalankoski, ala;W;Vedenkorkeus;35.931;Jatkuva;14.06.1937;28.02.2015;Kanta-Häme
2262;3509310;Loimijoki, Sallila, ylä;W;Vedenkorkeus;35.913;Jatkuva;15.09.1954;14.11.2025;Satakunta
2263;3509320;Loimijoki, Sallila, ala;W;Vedenkorkeus;35.913;Jatkuva;01.01.1956;14.11.2025;Satakunta
2265;3509410;Loimijoki, Maurialankoski;W;Vedenkorkeus;35.912;Jatkuva;01.08.1984;19.12.2025;Satakunta
2267;3509800;Sääksjärvi;W;Vedenkorkeus;35.152;Jatkuva;15.07.1910;19.12.2025;Satakunta
2270;3509911;Syyränsuu;W;Vedenkorkeus;35.122;Jatkuva;01.01.1970;18.12.2025;Satakunta
2275;3510111;Pahakoski, 780;W;Vedenkorkeus;35.122;Jatkuva;01.01.1958;18.12.2025;Satakunta
2276;3510130;Upas, 730;W;Vedenkorkeus;35.122;Jatkuva;01.01.1970;18.12.2025;Satakunta
2277;3510330;Kolsi, ylä;W;Vedenkorkeus;35.122;Jatkuva;01.01.1971;18.12.2025;Satakunta
2278;3510340;Kolsi, ala;W;Vedenkorkeus;35.121;Jatkuva;01.11.1993;18.12.2025;Satakunta
2279;3510400;Harjavalta, ylä;W;Vedenkorkeus;35.121;Jatkuva;01.01.1981;18.12.2025;Satakunta
2285;3602100;Isojärvi;W;Vedenkorkeus;36.014;Jatkuva;01.01.1960;19.12.2025;Satakunta
2286;3602200;Eteläjoki, Paratiisikoski;W;Vedenkorkeus;36.016;Jatkuva;01.01.1970;19.12.2025;Satakunta
2288;3602300;Pohjajoki;W;Vedenkorkeus;36.012;Jatkuva;01.01.1968;19.12.2025;Satakunta
2289;3602500;Lankoski, ylä;W;Vedenkorkeus;36.011;Jatkuva;01.01.1970;19.12.2025;Satakunta
2290;3700300;Perus;W;Vedenkorkeus;37.013;Jatkuva;01.08.1978;19.12.2025;Pohjanmaa
2294;3800910;Puskamarkki;W;Vedenkorkeus;38.001;Jatkuva;08.08.1985;19.12.2025;Pohjanmaa
2295;3900800;Allmänningsforsen;W;Vedenkorkeus;39.001;Jatkuva;01.02.1981;19.12.2025;Pohjanmaa
2298;4000910;Malax;W;Vedenkorkeus;40.002;Jatkuva;01.06.1978;19.12.2025;Pohjanmaa
2299;4100900;Karkkimala;W;Vedenkorkeus;41.001;Jatkuva;01.01.1972;19.12.2025;Pohjanmaa
2304;4200420;Seinäjärvi;W;Vedenkorkeus;42.074;Jatkuva;01.06.1957;19.12.2025;Pirkanmaa
2306;4200600;Kyrönjoki, Hanhikoski;W;Vedenkorkeus;42.023;Jatkuva;01.05.1951;19.12.2025;Etelä-Pohjanmaa
2307;4200800;Pappilankoski;W;Vedenkorkeus;42.021;Jatkuva;23.03.1912;19.12.2025;Etelä-Pohjanmaa
2308;4201000;Skatila;W;Vedenkorkeus;42.012;Jatkuva;01.01.1911;19.12.2025;Pohjanmaa
2309;4400100;Kuortaneenjärvi;W;Vedenkorkeus;44.033;Jatkuva;19.11.1929;19.12.2025;Etelä-Pohjanmaa
2310;4400110;Töysänjoki;W;Vedenkorkeus;44.081;Jatkuva;01.05.1980;19.12.2025;Etelä-Pohjanmaa
2312;4400210;Hirvijärvi;W;Vedenkorkeus;44.092;Jatkuva;01.05.1984;19.12.2025;Etelä-Pohjanmaa
2314;4400310;Tampparinkoski;W;Vedenkorkeus;44.031;Jatkuva;01.05.1980;19.12.2025;Etelä-Pohjanmaa
2315;4400320;Kauhavanjoki;W;Vedenkorkeus;44.061;Jatkuva;21.04.1955;19.12.2025;Etelä-Pohjanmaa
2318;4400610;Keppo;W;Vedenkorkeus;44.011;Jatkuva;04.02.1935;19.12.2025;Pohjanmaa
2835;0402740;Iso-Hietajärvi;W;Vedenkorkeus;04.963;Jatkuva;29.04.1988;05.03.2018;Pohjois-Karjala
2836;0402770;Pieni-Hietajärvi;W;Vedenkorkeus;04.963;Jatkuva;05.05.1988;05.03.2018;Pohjois-Karjala
2862;0405421;Osmanginjärvi;W;Vedenkorkeus;04.562;Jatkuva;02.01.1960;30.08.2006;Pohjois-Savo
2866;0405412;Kilpijärvi;W;Vedenkorkeus;04.581;Jatkuva;01.04.1982;19.12.2025;Pohjois-Savo
2885;0407927;Pöljänjärvi;W;Vedenkorkeus;04.652;Jatkuva;07.05.1975;19.12.2025;Pohjois-Savo
2914;1403020;Ahveninen;W;Vedenkorkeus;14.722;Jatkuva;02.09.1975;19.12.2025;Pohjois-Savo
2951;0403031;Naarajärvi;W;Vedenkorkeus;04.284;Jatkuva;06.04.2001;18.12.2025;Pohjois-Savo
2953;1700500;Ilolanjoki, Ilolan silta;W;Vedenkorkeus;17.001;Jatkuva;08.01.1996;19.12.2025;Uusimaa
2961;8102600;Pitkäjärvi;W;Vedenkorkeus;81.055;Jatkuva;02.04.1946;03.12.2025;Uusimaa
2966;1700600;Tiiläänjärvi;W;Vedenkorkeus;17.005;Jatkuva;27.01.1983;19.12.2025;Uusimaa
