fid,paikka_id,tunnus,nimi,suurekoodi,suure,vesistonumero,tila,ensimmainenhavainto,viimeisinhavainto,koordertmpohj,koordertmita,layer,path,namefin
196,1231,"4900300",Tunkkari,Q,Virtaama,"49.024",Jatkuva,01.01.1980,15.02.2026,7045227,338566,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Keski-Pohjanmaa
197,1232,"4900350","Kaitfors, kokonaisvirtaama",Q,Virtaama,"49.022",Jatkuva,01.04.1983,15.02.2026,7068422,321315,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjanmaa
198,1235,"5000300",Hyyppä,Q,Virtaama,"50.002",Jatkuva,01.03.1966,15.02.2026,7086643,325504,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Keski-Pohjanmaa
199,1237,"5100200",Lestijärvi - luusua,Q,Virtaama,"51.041",Jatkuva,01.01.1921,15.02.2026,7052637,386689,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Keski-Pohjanmaa
200,1239,"5100500",Saarenpää,Q,Virtaama,"51.012",Jatkuva,01.01.1980,15.02.2026,7099504,341537,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Keski-Pohjanmaa
201,1241,"5300161","Reis-Vuohtajärvi, pato",Q,Virtaama,"53.053",Jatkuva,01.01.1976,15.02.2026,7058844,403749,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
202,1242,"5300162","Settijärvi, pato",Q,Virtaama,"53.072",Jatkuva,01.01.1983,15.02.2026,7080520,422649,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
203,1243,"5300163","Kuonanjärvi, pato",Q,Virtaama,"53.083",Jatkuva,01.01.1983,15.02.2026,7067457,431196,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
204,1246,"5300250",Hinkua,Q,Virtaama,"53.081",Jatkuva,01.01.1991,15.02.2026,7064679,419081,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
205,1247,"5300350",Oksava vl,Q,Virtaama,"53.043",Jatkuva,01.01.1981,15.02.2026,7076393,413549,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
206,1248,"5300400",Malisjoki,Q,Virtaama,"53.061",Jatkuva,01.01.1986,31.01.2026,7091107,400591,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
207,1250,"5300550",Padinki,Q,Virtaama,"53.033",Jatkuva,01.01.1982,15.02.2026,7098997,390796,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
208,1252,"5300650",Hamari,Q,Virtaama,"53.031",Jatkuva,01.11.1984,15.02.2026,7107681,381936,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
209,1253,"5300740",Niskakoski,Q,Virtaama,"53.021",Jatkuva,01.01.1971,15.02.2026,7122774,359899,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
210,1255,"5400150",Venetpalo,Q,Virtaama,"54.042",Jatkuva,01.01.1961,15.02.2026,7085886,440152,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
211,1256,"5400160",Pyhäjärvi - luusua,Q,Virtaama,"54.051",Jatkuva,01.10.1971,15.02.2026,7067559,449525,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
212,1259,"5400250",Haapakoski,Q,Virtaama,"54.031",Jatkuva,01.10.1983,15.02.2026,7113910,417512,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
213,1262,"5400410",Tolpankoski,Q,Virtaama,"54.011",Jatkuva,16.05.1983,15.02.2026,7139842,374501,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
214,1263,"5700130",Lamujoki,Q,Virtaama,"57.061",Jatkuva,01.01.1976,15.02.2026,7134384,444508,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
215,1264,"5700161","Iso Lamujärvi, pato",Q,Virtaama,"57.064",Jatkuva,01.01.1977,15.02.2026,7104824,462783,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
216,1265,"5700162","Kortteinen, pato",Q,Virtaama,"57.063",Jatkuva,01.01.1977,15.02.2026,7116619,452797,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
217,1267,"5700250",Uljua + Siikajoki,Q,Virtaama,"57.023",Jatkuva,01.05.1970,15.02.2026,7134992,445450,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
218,1268,"5700410",Harjunniva,Q,Virtaama,"57.014",Jatkuva,01.05.1958,15.02.2026,7167628,423452,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
219,1269,"5700700",Länkelä,Q,Virtaama,"57.012",Jatkuva,01.01.1936,15.02.2026,7184435,398709,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
220,1270,"5900110",Hossanjärvi - luusua,Q,Virtaama,"59.522",Jatkuva,11.09.1962,15.02.2026,7257378,618448,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
221,1271,"5900160",Vellijärvi - luusua,Q,Virtaama,"59.572",Jatkuva,01.01.1980,15.02.2026,7242148,598994,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
222,1272,"5900180",Pesiöjärvi - luusua,Q,Virtaama,"59.541",Jatkuva,01.01.1980,15.02.2026,7202052,582637,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
223,1274,"5900250","Kiantajärvi, Ämmäkoski",Q,Virtaama,"59.511",Jatkuva,01.01.1960,14.02.2026,7196430,590730,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
224,1275,"5900251",Aittokoski,Q,Virtaama,"59.611",Jatkuva,26.06.1960,14.02.2026,7191490,587872,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
225,1276,"5900300",Vuokkijärvi - luusua,Q,Virtaama,"59.612",Jatkuva,01.01.1911,14.02.2026,7189309,600650,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
226,1277,"5900360",Palojärvi - luusua,Q,Virtaama,"59.632",Jatkuva,01.01.1983,15.02.2026,7183054,635055,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
227,1280,"5900510",Niemelänjärvi - luusua,Q,Virtaama,"59.721",Jatkuva,01.01.1976,15.02.2026,7167812,580706,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
228,1282,"5900650","Emäjoki, Seitenoikea",Q,Virtaama,"59.431",Jatkuva,01.06.1961,14.02.2026,7163781,567790,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
229,1283,"5900750",Pyhäntä,Q,Virtaama,"59.482",Jatkuva,01.07.1957,15.02.2026,7152975,565621,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
230,1286,"5900940",Uva - luusua,Q,Virtaama,"59.442",Jatkuva,01.01.1976,15.02.2026,7161772,547102,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
231,1287,"5900950",Leppikoski,Q,Virtaama,"59.411",Jatkuva,01.01.1963,14.02.2026,7148087,542670,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
232,1289,"5901110",Kivesjärvi - luusua,Q,Virtaama,"59.351",Jatkuva,01.01.1988,15.02.2026,7142443,524400,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
233,1290,"5901320",Änättijärvi - luusua,Q,Virtaama,"59.931",Jatkuva,14.08.1911,15.02.2026,7144314,637496,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
234,1291,"5901600",Kalliojärvi - luusua,Q,Virtaama,"59.952",Jatkuva,01.01.1975,15.02.2026,7129273,640789,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
235,1292,"5901710",Lentua - luusua,Q,Virtaama,"59.921",Jatkuva,01.01.1911,15.02.2026,7120763,625495,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
236,1293,"5901820",Saunajärvi - luusua,Q,Virtaama,"59.977",Jatkuva,01.04.1986,15.02.2026,7092668,645850,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
237,1294,"5901900",Lammasjärvi - luusua,Q,Virtaama,"59.912",Jatkuva,01.01.1937,13.02.2026,7113611,621826,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
238,1296,"5902100",Kellojärvi - luusua,Q,Virtaama,"59.942",Jatkuva,01.01.1977,15.02.2026,7122323,598162,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
239,1299,"5902250","Ontojärvi, Katerma",Q,Virtaama,"59.911",Jatkuva,01.01.1950,13.02.2026,7109220,596216,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
240,1301,"5902530",Jormasjärvi - luusua,Q,Virtaama,"59.882",Jatkuva,01.01.1985,15.02.2026,7107261,556522,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
241,1303,"5902650","Nuasjärvi, Koivukoski",Q,Virtaama,"59.811",Jatkuva,01.04.1948,15.02.2026,7122437,535733,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Kainuu
242,1305,"5903450","Oulujärvi, Jylhämä",Q,Virtaama,"59.311",Jatkuva,01.01.1950,14.02.2026,7160781,489532,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
243,1307,"5903551",Nuojua,Q,Virtaama,"59.213",Jatkuva,01.01.1954,14.02.2026,7161361,486363,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
244,1308,"5903750",Utanen,Q,Virtaama,"59.211",Jatkuva,11.05.1956,14.02.2026,7179154,475158,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
245,1310,"5904050",Pälli,Q,Virtaama,"59.131",Jatkuva,01.01.1973,14.02.2026,7191269,461803,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Pohjanmaa
