fid,paikka_id,tunnus,nimi,suurekoodi,suure,vesistonumero,tila,ensimmainenhavainto,viimeisinhavainto,koordertmpohj,koordertmita,layer,path,namefin
12,909,"0401920","Haapajoki, Putkulankoski",Q,Virtaama,"04.953",Jatkuva,01.01.1976,15.02.2026,7002832,703323,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
13,910,"0402120","Koitajoki, Möhkönkoski",Q,Virtaama,"04.931",Jatkuva,23.11.1965,15.02.2026,6953211,720297,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
14,917,"0402850","Koitajoki, Pamilo",Q,Virtaama,"04.912",Jatkuva,01.05.1955,14.02.2026,6968072,674810,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
15,919,"0403350","Pielisjoki, Kaltimo",Q,Virtaama,"04.342",Jatkuva,01.12.1958,13.02.2026,6963828,659782,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
16,921,"0404350","Pielisjoki, Kuurna",Q,Virtaama,"04.332",Jatkuva,01.01.1972,13.02.2026,6955988,647054,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
17,923,"0404813",Rauanjoki,Q,Virtaama,"04.831",Jatkuva,01.01.1979,15.02.2026,6980416,624005,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
18,924,"0404850","Höytiäinen, Puntarikoski",Q,Virtaama,"04.821",Jatkuva,01.01.1958,13.02.2026,6952727,635716,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
19,927,"0405250","Pyhäjärvi, Puhos",Q,Virtaama,"04.391",Jatkuva,01.01.1966,13.02.2026,6888107,650137,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Karjala
20,931,"0405750","Salahminjärvi, Salahmi",Q,Virtaama,"04.541",Jatkuva,01.01.1969,05.02.2026,7075096,496703,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
21,933,"0406010",Sonkajärvi - luusua,Q,Virtaama,"04.583",Jatkuva,01.01.1973,15.02.2026,7063651,520884,Hydrologiset havaintopaikat virtaama Q, pagingEnabled='true' preferCoordinatesForWfsT11='false' restrictToRequestBBOX='1' srsname='EPSG:3067' typename='inspire_ef:EF.HydrologisetHavaintopaikat_Virtaama_Q' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs' url='https://paikkatiedot.ymparisto.fi/geoserver/inspire_ef/wfs?request=GetCapabilities' version='auto',Pohjois-Savo
