paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN;KoordErTmIta;KoordErTmPohj
1993;1404400;Lievestuoreenjärvi;W;Vedenkorkeus;14.391;Jatkuva;6.5.1999;19.1.2026;Keski-Suomi;8367;8339;;;;458419;6904044
1996;1404510;Leppävesi, Leppälahti;W;Vedenkorkeus;14.311;Jatkuva;1.1.1919;18.1.2026;Keski-Suomi;8029;7999;7975;;;446009;6901125
1997;1404520;Leppävesi, Kaunisharju;W;Vedenkorkeus;14.311;Jatkuva;1.1.1946;17.1.2026;Keski-Suomi;7959;7929;7905;;;443644;6904257
1998;1404610;Päijänne, pohj.;W;Vedenkorkeus;14.231;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;7677;7646;7622;;;440194;6899029
2000;1404720;Palokkajärvi;W;Vedenkorkeus;14.291;Jatkuva;1.1.1970;18.1.2026;Keski-Suomi;0;-29;-54;;;434920;6903732
2001;1404800;Muuratjärvi;W;Vedenkorkeus;14.281;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;8963;8934;8910;;;424580;6893650
2002;1404810;Saarijärvi;W;Vedenkorkeus;14.272;Jatkuva;1.7.1983;19.1.2026;Keski-Suomi;11718;11688;;;;414758;6874919
2003;1404900;Ala-Kintaus;W;Vedenkorkeus;14.552;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;15369;15338;15313;;;413750;6906314
2004;1405000;Petäjävesi;W;Vedenkorkeus;14.531;Jatkuva;1.1.1910;19.1.2026;Keski-Suomi;11054;11023;10999;;;408233;6899444
2007;1405210;Jämsänkoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1923;11.1.2026;Keski-Suomi;52;23;0;;;403431;6867559
2009;1405240;Patalankoski, ylä;W;Vedenkorkeus;14.512;Jatkuva;1.1.1971;28.12.2025;Keski-Suomi;52;;0;;;403603;6866294
2010;1405250;Patalankoski, ala;W;Vedenkorkeus;14.511;Jatkuva;1.1.1971;21.12.2025;Keski-Suomi;52;;0;;;403611;6866183
2011;1405300;Isojärvi;W;Vedenkorkeus;14.263;Jatkuva;25.9.1909;18.1.2026;Pirkanmaa;11829;11801;11781;;;402795;6838031
2012;1405310;Pälämä;W;Vedenkorkeus;14.264;Jatkuva;2.6.1983;19.1.2026;Keski-Suomi;8864;8836;;;;402288;6846518
2014;1405430;Alajärvi;W;Vedenkorkeus;14.251;Jatkuva;1.1.1984;13.1.2026;Päijät-Häme;37;10;;0;;403319;6807386
2015;1405440;Miestämä;W;Vedenkorkeus;14.252;Jatkuva;20.1.1946;13.1.2026;Päijät-Häme;37;10;;0;;402802;6807527
2016;1405510;Suontee, Viherinkoski;W;Vedenkorkeus;14.841;Jatkuva;1.1.1910;18.1.2026;Keski-Suomi;9332;9305;9287;;;457089;6844259
2018;1405700;Jääsjärvi, etelä;W;Vedenkorkeus;14.821;Jatkuva;1.1.1910;4.1.2026;Päijät-Häme;9140;9113;9096;;;449358;6826252
2024;1406100;Vesijärvi;W;Vedenkorkeus;14.241;Jatkuva;1.1.1909;19.1.2026;Päijät-Häme;39;14;0;6;;426814;6762882
2030;1406510;Päijänne, Kalkkinen;W;Vedenkorkeus;14.211;Jatkuva;1.1.1941;18.1.2026;Päijät-Häme;42;16;0;;;423578;6795495
2031;1406520;Kalkkistenkoski;W;Vedenkorkeus;14.141;Jatkuva;14.8.1940;18.1.2026;Päijät-Häme;42;16;0;;;424899;6795505
2033;1406610;Kalkkinen, ala;W;Vedenkorkeus;14.141;Jatkuva;12.7.1940;18.1.2026;Päijät-Häme;42;16;0;;;424830;6796022
2034;1406710;Ruotsalainen, Heinola;W;Vedenkorkeus;14.141;Jatkuva;27.8.1900;18.1.2026;Päijät-Häme;7528;7503;7488;;;447642;6785555
2035;1406800;Ala-Rieveli;W;Vedenkorkeus;14.171;Jatkuva;1.1.1910;18.1.2026;Päijät-Häme;7694;7669;7654;;;457227;6800427
2036;1406900;Konnivesi;W;Vedenkorkeus;14.131;Jatkuva;26.8.1908;17.1.2026;Päijät-Häme;38;14;0;;;456233;6772463
2037;1406910;Kettujärvi;W;Vedenkorkeus;14.122;Jatkuva;1.3.1987;17.1.2026;Päijät-Häme;37;;0;;;455539;6766125
2039;1406930;Konnivesi, Vuolenkoski, ylä;W;Vedenkorkeus;14.131;Jatkuva;1.1.1971;17.1.2026;Päijät-Häme;37;;0;;;455923;6771969
2040;1406940;Vuolenkoski, ala;W;Vedenkorkeus;14.131;Jatkuva;1.1.1971;17.1.2026;Päijät-Häme;37;;0;;;455891;6771951
2041;1407000;Mankala;W;Vedenkorkeus;14.122;Jatkuva;1.1.1901;17.1.2026;Päijät-Häme;37;13;0;;;454723;6762147
2044;1407130;Mankalan voimalaitos, ylä;W;Vedenkorkeus;14.122;Jatkuva;1.1.1950;17.1.2026;Päijät-Häme;35;13;0;;;460345;6754789
2045;1407140;Mankalan voimalaitos, ala;W;Vedenkorkeus;14.121;Jatkuva;1.1.1950;17.1.2026;Päijät-Häme;35;13;0;;;460406;6754785
2048;1407310;Pyhäjärvi, Jaala;W;Vedenkorkeus;14.121;Jatkuva;15.9.1957;17.1.2026;Kymenlaakso;35;13;0;;;473339;6766671
2049;1407400;Kyyvesi, Haukivuori;W;Vedenkorkeus;14.932;Jatkuva;4.6.1909;18.1.2026;Etelä-Savo;10000;9973;9957;;;510228;6876111
2050;1407410;Iso-Naakkima;W;Vedenkorkeus;14.937;Jatkuva;5.9.1986;18.1.2026;Etelä-Savo;11062;11034;;;;507069;6893965
2053;1407700;Synsiä;W;Vedenkorkeus;14.926;Jatkuva;1.1.1910;19.1.2026;Etelä-Savo;10974;10946;;;;473992;6883865
2055;1407810;Puulavesi, Liekune;W;Vedenkorkeus;14.922;Jatkuva;1.1.1964;18.1.2026;Etelä-Savo;41;15;0;;;487485;6832828
2057;1407830;Vahvajärvi;W;Vedenkorkeus;14.921;Jatkuva;27.9.1938;18.1.2026;Etelä-Savo;8775;8749;8733;;;481104;6831389
2059;1408000;Lahnavesi, Tuustaipale, ala;W;Vedenkorkeus;14.913;Jatkuva;1.1.1910;18.1.2026;Etelä-Savo;7919;7894;7879;;;483911;6819351
2061;1408100;Pyhävesi, Mäntyharju;W;Vedenkorkeus;14.972;Jatkuva;1.1.1910;19.1.2026;Etelä-Savo;8074;8049;8035;;;483980;6810897
2062;1408200;Juolasvesi, Voikoski;W;Vedenkorkeus;14.913;Jatkuva;26.5.1909;19.1.2026;Kymenlaakso;7808;7785;7771;;;487838;6791497
2064;1408320;Vuohijärvi, etelä;W;Vedenkorkeus;14.912;Jatkuva;1.1.1971;17.1.2026;Kymenlaakso;34;12;0;;;487828;6773383
2065;1408330;Siikakoski, ala;W;Vedenkorkeus;14.911;Jatkuva;1.1.1990;17.1.2026;Kymenlaakso;35;;0;;;484499;6773166
2066;1408340;Verla, ylä;W;Vedenkorkeus;14.911;Jatkuva;1.1.1990;17.1.2026;Kymenlaakso;35;;0;;;480380;6769943
2067;1408400;Kamponen, Puolakka;W;Vedenkorkeus;14.911;Jatkuva;3.8.1909;17.1.2026;Kymenlaakso;35;12;0;;;479975;6767907
2068;1408410;Suolajärvi;W;Vedenkorkeus;14.911;Jatkuva;23.4.1941;17.1.2026;Kymenlaakso;35;;0;;;480330;6771751
2069;1408420;Sonnanjärvi;W;Vedenkorkeus;14.911;Jatkuva;23.4.1941;17.1.2026;Kymenlaakso;35;12;0;;;479196;6770507
2072;1408610;Voikkaa, ylä;W;Vedenkorkeus;14.121;Jatkuva;23.9.1957;17.1.2026;Kymenlaakso;33;11;0;;;478054;6756281
2074;1408800;Ylä-Kivijärvi;W;Vedenkorkeus;14.192;Jatkuva;18.8.1909;19.1.2026;Etelä-Karjala;7443;7422;7416;;;541217;6757956
2075;1408900;Ala-Kivijärvi;W;Vedenkorkeus;14.191;Jatkuva;18.8.1909;18.1.2026;Etelä-Karjala;7374;7353;7346;;;527380;6756541
2079;1409110;Haukkajärvi;W;Vedenkorkeus;14.182;Jatkuva;1.1.1961;18.1.2026;Kymenlaakso;6131;6110;6101;;;492436;6753643
2080;1409120;Jyräänkoski;W;Vedenkorkeus;14.181;Jatkuva;1.2.1963;17.1.2026;Kymenlaakso;22;0;;;;489750;6751882
2083;1409220;Lappakoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1918;17.1.2026;Kymenlaakso;33;11;0;;;482358;6753990
2084;1409300;Kuusankoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1955;17.1.2026;Kymenlaakso;32;;0;;;481086;6752314
2085;1409310;Kuusankoski, ylä;W;Vedenkorkeus;14.115;Jatkuva;1.1.1902;17.1.2026;Kymenlaakso;32;11;0;;;481564;6751990
2087;1409410;Kuusankoski, ala;W;Vedenkorkeus;14.114;Jatkuva;1.1.1926;17.1.2026;Kymenlaakso;33;;0;;;480652;6752283
2090;1409520;Keltti, ylä;W;Vedenkorkeus;14.113;Jatkuva;1.1.1958;17.1.2026;Kymenlaakso;32;10;0;;;479088;6748810
2091;1409610;Keltti, ala;W;Vedenkorkeus;14.113;Jatkuva;1.1.1970;17.1.2026;Kymenlaakso;32;;0;;;479092;6748768
2092;1409700;Myllykoski, ylä;W;Vedenkorkeus;14.113;Jatkuva;21.7.1900;17.1.2026;Kymenlaakso;30;;0;;;487520;6737049
2093;1409800;Myllykoski, ala;W;Vedenkorkeus;14.112;Jatkuva;1.9.1909;17.1.2026;Kymenlaakso;30;;0;;;487794;6736578
2094;1409900;Anjala, ylä;W;Vedenkorkeus;14.112;Jatkuva;1.1.1910;30.4.2025;Kymenlaakso;29;8;0;;;489851;6730523
2095;1409910;Anjala, ylä;W;Vedenkorkeus;14.111;Jatkuva;25.11.1939;30.4.2025;Kymenlaakso;29;8;0;;;489905;6729287
2096;1410000;Anjala, ala;W;Vedenkorkeus;14.111;Jatkuva;14.7.1900;30.4.2025;Kymenlaakso;29;8;0;;;490040;6729187
2099;1410200;Ahvio, ylä;W;Vedenkorkeus;14.111;Jatkuva;1.1.1901;19.1.2026;Kymenlaakso;1857;1835;1828;;;486724;6722890
2102;1410400;Pernoo, ylä;W;Vedenkorkeus;14.111;Jatkuva;15.7.1900;19.1.2026;Kymenlaakso;1706;1685;1678;;;488418;6716069
2105;1410600;Parikka;W;Vedenkorkeus;14.111;Jatkuva;21.7.1900;17.1.2026;Kymenlaakso;27;6;0;;;493389;6710601
2110;1410840;Hirvikoski;W;Vedenkorkeus;14.111;Jatkuva;12.5.1933;19.1.2026;Kymenlaakso;1540;1518;1511;;;481412;6719560
2111;1410900;Tammijärvi;W;Vedenkorkeus;14.111;Jatkuva;1.1.1905;17.1.2026;Kymenlaakso;22;0;-6;;;476055;6714512
2115;1411110;Klåsarö, ala;W;Vedenkorkeus;14.111;Jatkuva;1.1.1920;17.1.2026;Kymenlaakso;22;0;-6;;;473957;6710635
2117;1411220;Kuuskoski;W;Vedenkorkeus;14.111;Jatkuva;1.1.1920;17.1.2026;Uusimaa;28;5;0;;;470950;6708918
2118;1600110;Pyhäjärvi;W;Vedenkorkeus;16.003;Jatkuva;8.10.1953;18.1.2026;Uusimaa;3937;3914;3905;;;446035;6730602
2122;1800500;Vakkola;W;Vedenkorkeus;18.021;Jatkuva;25.1.1963;18.1.2026;Uusimaa;1492;1469;;1464;;421925;6708857
2123;1900100;Vekkoski;W;Vedenkorkeus;19.001;Jatkuva;1.1.1964;19.1.2026;Uusimaa;952;927;922;;;413371;6696257
2125;1900400;Hirvihaaranjoki;W;Vedenkorkeus;19.004;Jatkuva;18.9.1986;18.1.2026;Uusimaa;7189;7165;;;;402851;6722587
2126;2100110;Hirvijärvi;W;Vedenkorkeus;21.033;Jatkuva;15.11.1958;19.1.2026;Kanta-Häme;39;14;0;;;372468;6728168
2127;2100120;Ylä-Suolijärvi;W;Vedenkorkeus;21.033;Jatkuva;1.1.1961;19.1.2026;Uusimaa;40;;0;;;371837;6723106
2129;2100130;Kytäjärvi;W;Vedenkorkeus;21.032;Jatkuva;1.1.1960;19.1.2026;Uusimaa;39;;0;;;372555;6721670
2132;2101220;Myllymäki;W;Vedenkorkeus;21.012;Jatkuva;1.1.1959;19.1.2026;Uusimaa;33;7;0;;;381978;6686401
2133;2101310;Tuusulanjärvi;W;Vedenkorkeus;21.082;Jatkuva;1.1.1959;18.1.2026;Uusimaa;34;8;0;;;392215;6699430
2135;2101520;Hanala;W;Vedenkorkeus;21.092;Jatkuva;1.1.1966;19.1.2026;Uusimaa;33;6;;0;;394255;6688587
2138;2200310;Palojärvenkoski;W;Vedenkorkeus;22.004;Jatkuva;1.1.1964;19.1.2026;Uusimaa;4659;4634;;;;354810;6686990
2140;2200620;Siuntionjoki;W;Vedenkorkeus;22.002;Jatkuva;15.8.1975;19.1.2026;Uusimaa;308;282;273;;;346362;6670427
2141;2300100;Vanjoki;W;Vedenkorkeus;23.042;Jatkuva;22.8.1912;19.1.2026;Uusimaa;3195;3170;;3161;;346071;6703035
2143;2300150;Punelia;W;Vedenkorkeus;23.053;Jatkuva;1.1.1971;18.1.2026;Kanta-Häme;36;10;;0;;348040;6729321
2146;2300500;Hiidenvesi;W;Vedenkorkeus;23.031;Jatkuva;7.10.1910;19.1.2026;Uusimaa;38;13;0;;;351215;6693863
2149;2300900;Lohjanjärvi, Lohja;W;Vedenkorkeus;23.021;Jatkuva;13.4.1900;18.1.2026;Uusimaa;36;11;0;;;332628;6676414
2154;2500400;Kaukolankoski;W;Vedenkorkeus;25.002;Jatkuva;1.3.1970;19.1.2026;Varsinais-Suomi;1619;1591;;;;292294;6706405
2156;2700110;Painionjärvi;W;Vedenkorkeus;27.042;Jatkuva;1.1.1965;18.1.2026;Varsinais-Suomi;12;-15;;-26;;318437;6721617
2322;4700300;Lappajärvi, Niska;W;Vedenkorkeus;47.023;Jatkuva;22.4.1905;19.1.2026;Etelä-Pohjanmaa;6729;6689;;;;331203;7019235
2324;4700320;Lappajärvi, Halkosaari;W;Vedenkorkeus;47.031;Jatkuva;1.1.1963;19.1.2026;Etelä-Pohjanmaa;53;14;;0;;331205;7019031
2326;4700420;Evijärvi, Joensuu;W;Vedenkorkeus;47.021;Jatkuva;1.1.1969;19.1.2026;Etelä-Pohjanmaa;41;0;;-14;;320859;7038854
2327;4700430;Evijärvi, Kaarenhaara, Alavesi;W;Vedenkorkeus;47.015;Jatkuva;1.1.1964;19.1.2026;Etelä-Pohjanmaa;6017;5976;;;;320287;7038939
2328;4800100;Kruunupyy;W;Vedenkorkeus;48.001;Jatkuva;1.1.1990;19.1.2026;Pohjanmaa;45;2;;;;302813;7072643
2330;4900300;Tunkkari;W;Vedenkorkeus;49.024;Jatkuva;1.8.1978;18.1.2026;Keski-Pohjanmaa;6141;6101;;;;338310;7044291
2332;4900410;Lahnakoski;W;Vedenkorkeus;49.021;Jatkuva;1.10.1985;18.1.2026;Keski-Pohjanmaa;43;15;;0;;319385;7077122
2334;5000300;Hyyppä;W;Vedenkorkeus;50.002;Jatkuva;1.3.1966;18.1.2026;Keski-Pohjanmaa;684;642;;;;325495;7086653
2336;5100200;Lestijärvi;W;Vedenkorkeus;51.032;Jatkuva;14.2.1919;18.1.2026;Keski-Pohjanmaa;14080;14041;;14028;;386668;7052652
2338;5100500;Saarenpää;W;Vedenkorkeus;51.012;Jatkuva;1.8.1978;19.1.2026;Keski-Pohjanmaa;2460;2419;;;;341594;7099404
2340;5300200;Haapajärvi;W;Vedenkorkeus;53.043;Jatkuva;1.1.1913;18.1.2026;Pohjois-Pohjanmaa;48;13;;0;;417000;7069723
2342;5300220;Hautaperä;W;Vedenkorkeus;53.081;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;48;13;;0;;419067;7064697
2343;5300400;Malisjoki;W;Vedenkorkeus;53.061;Jatkuva;1.9.1985;18.1.2026;Pohjois-Pohjanmaa;7613;7575;;;;400009;7091059
2349;5300740;Niskakoski;W;Vedenkorkeus;53.021;Jatkuva;11.11.1970;19.1.2026;Pohjois-Pohjanmaa;2868;2826;;;;360125;7122479
2352;5400100;Pyhäjärvi, Pyhäsalmi;W;Vedenkorkeus;54.051;Jatkuva;17.2.1919;18.1.2026;Pohjois-Pohjanmaa;13838;13805;13774;13793;;450262;7061941
2355;5400200;Haapajärvi;W;Vedenkorkeus;54.031;Jatkuva;1.9.1931;18.1.2026;Pohjois-Pohjanmaa;40;0;;;;420049;7112604
2360;5400410;Tolpankoski;W;Vedenkorkeus;54.011;Jatkuva;16.5.1983;18.1.2026;Pohjois-Pohjanmaa;42;0;;;;374473;7139833
2361;5700130;Lamujoki;W;Vedenkorkeus;57.061;Jatkuva;28.10.1975;18.1.2026;Pohjois-Pohjanmaa;6529;6490;;6477;;444604;7134441
2363;5700250;Uljua;W;Vedenkorkeus;57.023;Jatkuva;1.5.1970;18.1.2026;Pohjois-Pohjanmaa;52;;;0;;445517;7134974
2365;5700410;Harjunniva;W;Vedenkorkeus;57.013;Jatkuva;1.5.1958;18.1.2026;Pohjois-Pohjanmaa;4469;4429;4394;;;423325;7167637
2366;5700700;Länkelä;W;Vedenkorkeus;57.011;Jatkuva;23.10.1935;18.1.2026;Pohjois-Pohjanmaa;1705;1663;1626;;;398937;7184300
2367;5900110;Hossanjärvi;W;Vedenkorkeus;59.522;Jatkuva;11.9.1962;19.1.2026;Kainuu;21362;21332;;;;618538;7260280
2368;5900160;Piispajärvi-Vellijärvi;W;Vedenkorkeus;59.572;Jatkuva;6.2.1975;19.1.2026;Kainuu;24727;24697;;;;596712;7243106
2369;5900180;Pesiöjärvi;W;Vedenkorkeus;59.541;Jatkuva;13.6.1979;19.1.2026;Kainuu;21293;21263;;;;582541;7202076
2372;5900220;Kiantajärvi, Ämmänsaari;W;Vedenkorkeus;59.511;Jatkuva;1.1.1961;18.1.2026;Kainuu;62;32;0;;;591484;7196840
2374;5900360;Palojärvi;W;Vedenkorkeus;59.632;Jatkuva;19.10.1976;19.1.2026;Kainuu;20428;20400;;;;636435;7183436
2375;5900400;Vuokkijärvi, Sanki;W;Vedenkorkeus;59.621;Jatkuva;22.11.1938;18.1.2026;Kainuu;61;32;0;;;609980;7186372
2377;5900510;Niemelänjärvi;W;Vedenkorkeus;59.721;Jatkuva;1.1.1976;18.1.2026;Kainuu;16223;16195;;;;584387;7165480
2378;5900610;Hyrynjärvi;W;Vedenkorkeus;59.431;Jatkuva;1.1.1950;18.1.2026;Kainuu;42;13;;0;;571656;7173917
2379;5900700;Iso-Pyhäntä;W;Vedenkorkeus;59.482;Jatkuva;1.1.1961;18.1.2026;Kainuu;64;34;0;;;565630;7152930
2380;5900900;Ristijärvi;W;Vedenkorkeus;59.412;Jatkuva;1.4.1938;18.1.2026;Kainuu;43;13;;0;;554580;7150967
2381;5900940;Uva;W;Vedenkorkeus;59.442;Jatkuva;1.1.1976;19.1.2026;Kainuu;15282;15253;;;;547463;7161855
2383;5901110;Kivesjärvi;W;Vedenkorkeus;59.351;Jatkuva;1.2.1974;18.1.2026;Kainuu;13488;13457;;;;524315;7142455
2384;5901320;Änättijärvi;W;Vedenkorkeus;59.931;Jatkuva;14.8.1911;19.1.2026;Kainuu;18198;18170;18140;;;640129;7151539
2385;5901600;Kalliojärvi;W;Vedenkorkeus;59.952;Jatkuva;22.3.1974;18.1.2026;Kainuu;17582;17554;;;;643856;7129142
2386;5901710;Lentua;W;Vedenkorkeus;59.921;Jatkuva;1.1.1911;18.1.2026;Kainuu;16762;16734;16704;;;630581;7122480
2387;5901820;Saunajärvi;W;Vedenkorkeus;59.977;Jatkuva;1.4.1986;18.1.2026;Kainuu;19466;19440;;;;645695;7091469
2389;5901900;Lammasjärvi;W;Vedenkorkeus;59.912;Jatkuva;1.1.1937;17.1.2026;Kainuu;53;26;0;;;624163;7114127
2391;5902100;Kellojärvi;W;Vedenkorkeus;59.942;Jatkuva;14.6.1912;18.1.2026;Kainuu;16053;16026;;;;597824;7122403
2394;5902210;Ontojärvi, Paloniemi;W;Vedenkorkeus;59.911;Jatkuva;1.1.1957;17.1.2026;Kainuu;58;30;0;;;611326;7112264
2397;5902400;Kaitainsalmi;W;Vedenkorkeus;59.822;Jatkuva;1.1.1962;18.1.2026;Kainuu;59;30;0;;;570579;7116705
2399;5902530;Jormasjärvi;W;Vedenkorkeus;59.882;Jatkuva;17.11.1976;19.1.2026;Kainuu;14416;14386;;;;556630;7107113
2400;5902610;Nuasjärvi, Rehjanselkä;W;Vedenkorkeus;59.811;Jatkuva;25.11.1956;18.1.2026;Kainuu;63;33;0;;;538194;7122539
2405;5903210;Oulujärvi, Melalahti;W;Vedenkorkeus;59.331;Jatkuva;1.1.1957;18.1.2026;Kainuu;65;34;0;;;531432;7141644
2408;5903330;Oulujärvi, Vuottolahti;W;Vedenkorkeus;59.321;Jatkuva;1.1.1977;18.1.2026;Kainuu;65;33;0;;;511268;7111469
2409;5903410;Oulujärvi, Vaala;W;Vedenkorkeus;59.311;Jatkuva;1.1.1950;18.1.2026;Pohjois-Pohjanmaa;72;38;0;;;491471;7158412
2410;5903470;Otermajärvi;W;Vedenkorkeus;59.262;Jatkuva;18.3.1974;18.1.2026;Pohjois-Pohjanmaa;14046;14012;;;;502844;7172434
2415;6000100;Porkkalan silta;W;Vedenkorkeus;60.022;Jatkuva;1.12.1961;18.1.2026;Pohjois-Pohjanmaa;7451;7414;;7401;;467405;7216294
2416;6000110;Iso Puutiojärvi;W;Vedenkorkeus;60.052;Jatkuva;27.2.1974;18.1.2026;Kainuu;14936;14902;;;;528232;7193439
2418;6000200;Nuorittajoki;W;Vedenkorkeus;60.061;Jatkuva;1.1.1963;18.1.2026;Pohjois-Pohjanmaa;8567;8530;;8517;;474349;7219114
2420;6000410;Haukipudas;W;Vedenkorkeus;60.011;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;967;927;890;;;425598;7231002
2423;6100200;Irnijärvi;W;Vedenkorkeus;61.321;Jatkuva;1.1.1967;17.1.2026;Pohjois-Pohjanmaa;43;13;;0;;599754;7280222
2425;6100220;Tyräjärvi;W;Vedenkorkeus;61.381;Jatkuva;1.1.1961;18.1.2026;Pohjois-Pohjanmaa;22325;22294;;;;584851;7263523
2426;6100230;Jokijärvi;W;Vedenkorkeus;61.312;Jatkuva;19.2.1960;17.1.2026;Pohjois-Pohjanmaa;44;13;;0;;573375;7267286
2428;6100300;Kostonjärvi;W;Vedenkorkeus;61.622;Jatkuva;1.1.1965;17.1.2026;Pohjois-Pohjanmaa;65;33;0;;;568090;7292960
2431;6100340;Kynsijärvi;W;Vedenkorkeus;61.631;Jatkuva;21.1.1965;17.1.2026;Lappi;;;0;;;560872;7308412
2433;6100500;Väätäjänsuvanto;W;Vedenkorkeus;61.231;Jatkuva;28.9.1955;19.1.2026;Pohjois-Pohjanmaa;16157;16124;;16111;;543580;7264455
2436;6100620;Suolijärvi;W;Vedenkorkeus;61.722;Jatkuva;1.1.1961;19.1.2026;Kainuu;14931;14898;;;;550331;7224543
2438;6100640;Jaurakkajärvi;W;Vedenkorkeus;61.712;Jatkuva;1.3.1960;18.1.2026;Pohjois-Pohjanmaa;12386;12352;;;;529174;7231353
2439;6100700;Jongunjärvi;W;Vedenkorkeus;61.214;Jatkuva;6.4.1984;19.1.2026;Pohjois-Pohjanmaa;35;0;;;;510700;7244212
2442;6101100;Livojärvi;W;Vedenkorkeus;61.533;Jatkuva;1.1.1960;19.1.2026;Lappi;32;0;;;;553607;7318701
2444;6101210;Livojoki, Hanhikoski;W;Vedenkorkeus;61.512;Jatkuva;27.9.1972;19.1.2026;Pohjois-Pohjanmaa;11581;11545;;;;495379;7265698
2446;6101600;Siuruanjoki, Leuvankoski;W;Vedenkorkeus;61.412;Jatkuva;9.9.1959;18.1.2026;Pohjois-Pohjanmaa;4582;4544;;;;447311;7254085
2450;6300100;Oijärvi;W;Vedenkorkeus;63.021;Jatkuva;1.1.1954;19.1.2026;Pohjois-Pohjanmaa;8981;8940;;;;450725;7278039
2452;6300210;Ravaska;W;Vedenkorkeus;63.012;Jatkuva;1.1.1965;18.1.2026;Pohjois-Pohjanmaa;2654;2613;;;;421285;7278505
2453;6400100;Simojärvi;W;Vedenkorkeus;64.051;Jatkuva;1.1.1962;18.1.2026;Lappi;17565;17530;;;;494164;7344467
2455;6400310;Hosionkoski;W;Vedenkorkeus;64.022;Jatkuva;17.1.1962;19.1.2026;Lappi;10910;10872;;;;446938;7311243
2457;6400410;Simo;W;Vedenkorkeus;64.012;Jatkuva;1.1.1965;18.1.2026;Lappi;1079;1039;;;;412372;7284106
2458;6500210;Porttipahta, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.1.1971;18.1.2026;Lappi;38;;;0;;489452;7538674
2460;6500380;Sattasjoki;W;Vedenkorkeus;65.861;Jatkuva;11.10.1976;18.1.2026;Lappi;29;;;0;;471756;7498866
2461;6500410;Kitinen, Kurittukoski, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.10.1987;18.1.2026;Lappi;27;;;0;;488151;7526939
2462;6500420;Kitinen, Vajukoski, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.10.1984;18.1.2026;Lappi;28;;;0;;491695;7509000
2463;6500480;Kitinen, Kurkiaska, ylä;W;Vedenkorkeus;65.814;Jatkuva;1.1.1993;18.1.2026;Lappi;31;;;0;;488137;7463216
2466;6500520;Kitinen, Kokkosniva, ylä;W;Vedenkorkeus;65.813;Jatkuva;8.10.1990;18.1.2026;Lappi;32;14;;0;;514351;7456924
2467;6500600;Vuotso;W;Vedenkorkeus;65.931;Jatkuva;1.10.1971;17.1.2026;Lappi;26;;;0;;506551;7552880
2468;6500610;Lokka, ylä;W;Vedenkorkeus;65.931;Jatkuva;1.1.1968;18.1.2026;Lappi;42;;;0;;531346;7523208
2469;6501400;Isojärvi;W;Vedenkorkeus;65.394;Jatkuva;16.3.1951;17.1.2026;Lappi;;;0;;;550459;7368855
2471;6501530;Luksuan pato;W;Vedenkorkeus;65.393;Jatkuva;29.8.1973;17.1.2026;Lappi;67;;0;;;549460;7349418
2473;6501620;Räpsyn kanava;W;Vedenkorkeus;65.392;Jatkuva;12.2.1972;17.1.2026;Lappi;68;;0;;;548994;7359650
2474;6501700;Kemihaara;W;Vedenkorkeus;65.411;Jatkuva;24.8.1921;18.1.2026;Lappi;15418;15387;;15374;15387;533997;7453815
2475;6502000;Kemijärvi, Kemijärvi;W;Vedenkorkeus;65.311;Jatkuva;26.8.1918;18.1.2026;Lappi;45;13;;0;;519617;7399678
2476;6502010;Kemijärvi, Kulmunki;W;Vedenkorkeus;65.311;Jatkuva;1.1.1965;18.1.2026;Lappi;47;14;;0;;514780;7376201
2478;6502033;Seitakorva, ylä;W;Vedenkorkeus;65.311;Jatkuva;1.1.1971;18.1.2026;Lappi;45;;;0;;514713;7365177
2480;6502110;Iso-Kaihua;W;Vedenkorkeus;65.241;Jatkuva;1.1.1960;18.1.2026;Lappi;47;14;;0;;492244;7361597
2481;6502113;Saukkojärvi;W;Vedenkorkeus;65.243;Jatkuva;1.1.1971;18.1.2026;Lappi;47;;;0;;494225;7373499
2482;6502114;Pikku-Kaarni;W;Vedenkorkeus;65.242;Jatkuva;1.1.1971;18.1.2026;Lappi;47;;;0;;493315;7371120
2483;6502116;Iso-Kaarni;W;Vedenkorkeus;65.242;Jatkuva;1.1.1971;18.1.2026;Lappi;47;;;0;;493140;7366270
2484;6502117;Vanttausjärvi;W;Vedenkorkeus;65.244;Jatkuva;1.11.1972;18.1.2026;Lappi;48;;;0;;483945;7369723
2485;6502118;Alalampi;W;Vedenkorkeus;65.22;Jatkuva;1.11.1972;18.1.2026;Lappi;48;;;0;;486044;7365140
