paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN;KoordErTmIta;KoordErTmPohj
2251;3508800;Kiikka;W;Vedenkorkeus;35.123;Jatkuva;1.1.1903;18.1.2026;Pirkanmaa;32;0;-25;;;274410;6805382
2252;3509000;Äetsä, ylä;W;Vedenkorkeus;35.123;Jatkuva;1.1.1935;17.1.2026;Pirkanmaa;58;25;0;;;269378;6801485
2253;3509010;Äetsä, ala;W;Vedenkorkeus;35.122;Jatkuva;1.1.1933;17.1.2026;Pirkanmaa;58;25;0;;;269343;6801475
2254;3509110;Pyhäjärvi, Saari;W;Vedenkorkeus;35.931;Jatkuva;1.1.1926;18.1.2026;Kanta-Häme;9639;9612;9595;;;327880;6742639
2256;3509140;Liesjärvi;W;Vedenkorkeus;35.982;Jatkuva;1.1.1963;18.1.2026;Kanta-Häme;10776;10750;;10740;;331804;6733379
2259;3509210;Kuhalankoski, ylä;W;Vedenkorkeus;35.931;Jatkuva;22.3.1937;18.1.2026;Kanta-Häme;28;0;-17;;;316175;6747030
2260;3509220;Kuhalankoski, ala;W;Vedenkorkeus;35.931;Jatkuva;14.6.1937;28.2.2015;Kanta-Häme;28;0;;;;316204;6747031
2262;3509310;Loimijoki, Sallila, ylä;W;Vedenkorkeus;35.913;Jatkuva;15.9.1954;18.1.2026;Satakunta;31;0;;;;267725;6773330
2263;3509320;Loimijoki, Sallila, ala;W;Vedenkorkeus;35.913;Jatkuva;1.1.1956;18.1.2026;Satakunta;31;0;;;;267605;6773376
2265;3509410;Loimijoki, Maurialankoski;W;Vedenkorkeus;35.912;Jatkuva;1.8.1984;19.1.2026;Satakunta;5232;5200;;;;268165;6786140
2267;3509800;Sääksjärvi;W;Vedenkorkeus;35.152;Jatkuva;15.7.1910;18.1.2026;Satakunta;4848;4813;4787;;;257333;6815108
2270;3509911;Syyränsuu;W;Vedenkorkeus;35.122;Jatkuva;1.1.1970;17.1.2026;Satakunta;58;;0;;;262624;6796350
2275;3510111;Pahakoski, 780;W;Vedenkorkeus;35.122;Jatkuva;1.1.1958;17.1.2026;Satakunta;59;;0;;;255171;6801130
2276;3510130;Upas, 730;W;Vedenkorkeus;35.122;Jatkuva;1.1.1970;17.1.2026;Satakunta;59;;0;;;253024;6805771
2277;3510330;Kolsi, ylä;W;Vedenkorkeus;35.122;Jatkuva;1.1.1971;17.1.2026;Satakunta;59;;0;;;251122;6802093
2278;3510340;Kolsi, ala;W;Vedenkorkeus;35.121;Jatkuva;1.11.1993;17.1.2026;Satakunta;59;;0;;;251103;6802078
2279;3510400;Harjavalta, ylä;W;Vedenkorkeus;35.121;Jatkuva;1.1.1981;17.1.2026;Satakunta;61;;0;;;238799;6810249
2285;3602100;Isojärvi;W;Vedenkorkeus;36.014;Jatkuva;1.1.1960;19.1.2026;Satakunta;3436;3400;;;;227440;6851463
2286;3602200;Eteläjoki, Paratiisikoski;W;Vedenkorkeus;36.016;Jatkuva;1.1.1970;19.1.2026;Satakunta;378;340;;;;217790;6847603
2288;3602300;Pohjajoki;W;Vedenkorkeus;36.012;Jatkuva;1.1.1968;19.1.2026;Satakunta;2034;1996;;;;221867;6849137
2289;3602500;Lankoski, ylä;W;Vedenkorkeus;36.011;Jatkuva;1.1.1970;19.1.2026;Satakunta;3315;3277;;;;222132;6864649
2290;3700300;Perus;W;Vedenkorkeus;37.013;Jatkuva;1.8.1978;19.1.2026;Pohjanmaa;1068;1027;;;;218768;6912486
2294;3800910;Puskamarkki;W;Vedenkorkeus;38.001;Jatkuva;8.8.1985;19.1.2026;Pohjanmaa;1949;1908;1876;1895;;216249;6921327
2295;3900800;Allmänningsforsen;W;Vedenkorkeus;39.001;Jatkuva;1.2.1981;19.1.2026;Pohjanmaa;55;13;;0;;210468;6943499
2298;4000910;Malax;W;Vedenkorkeus;40.002;Jatkuva;1.6.1978;19.1.2026;Pohjanmaa;628;585;;;;223605;6990933
2299;4100900;Karkkimala;W;Vedenkorkeus;41.001;Jatkuva;1.1.1972;18.1.2026;Pohjanmaa;314;270;233;;;240104;6999580
2304;4200420;Seinäjärvi;W;Vedenkorkeus;42.074;Jatkuva;1.6.1957;19.1.2026;Pirkanmaa;50;16;;0;;311524;6921931
2306;4200600;Kyrönjoki, Hanhikoski;W;Vedenkorkeus;42.023;Jatkuva;1.5.1951;18.1.2026;Etelä-Pohjanmaa;3204;3164;3128;;;282832;6988362
2307;4200800;Pappilankoski;W;Vedenkorkeus;42.021;Jatkuva;23.3.1912;18.1.2026;Etelä-Pohjanmaa;1726;1683;1647;;;263586;6993843
2308;4201000;Skatila;W;Vedenkorkeus;42.012;Jatkuva;1.1.1911;19.1.2026;Pohjanmaa;269;225;188;;;241819;7006218
2309;4400100;Kuortaneenjärvi;W;Vedenkorkeus;44.033;Jatkuva;19.11.1929;18.1.2026;Etelä-Pohjanmaa;7538;7500;;7486;;317226;6975404
2310;4400110;Töysänjoki;W;Vedenkorkeus;44.081;Jatkuva;1.5.1980;19.1.2026;Etelä-Pohjanmaa;10158;10122;;;;328595;6946415
2312;4400210;Hirvijärvi;W;Vedenkorkeus;44.092;Jatkuva;1.5.1984;18.1.2026;Etelä-Pohjanmaa;54;;;0;;298500;6970539
2314;4400310;Tampparinkoski;W;Vedenkorkeus;44.031;Jatkuva;1.5.1980;18.1.2026;Etelä-Pohjanmaa;3316;3275;;;;299959;6987447
2315;4400320;Kauhavanjoki;W;Vedenkorkeus;44.061;Jatkuva;21.4.1955;19.1.2026;Etelä-Pohjanmaa;56;13;;0;;296433;7002160
2318;4400610;Keppo;W;Vedenkorkeus;44.011;Jatkuva;4.2.1935;18.1.2026;Pohjanmaa;1917;1874;1836;;;284915;7033080
2835;0402740;Iso-Hietajärvi;W;Vedenkorkeus;04.963;Jatkuva;29.4.1988;5.3.2018;Pohjois-Karjala;16469;16446;;;;686963;7009811
2836;0402770;Pieni-Hietajärvi;W;Vedenkorkeus;04.963;Jatkuva;5.5.1988;5.3.2018;Pohjois-Karjala;16475;16452;;;;685924;7009014
2862;0405421;Osmanginjärvi;W;Vedenkorkeus;04.562;Jatkuva;2.1.1960;30.8.2006;Pohjois-Savo;9894;;;9850;;473659;7065480
2866;0405412;Kilpijärvi;W;Vedenkorkeus;04.581;Jatkuva;1.4.1982;18.1.2026;Pohjois-Savo;8543;;;8502;;515592;7044209
2885;0407927;Pöljänjärvi;W;Vedenkorkeus;04.652;Jatkuva;7.5.1975;18.1.2026;Pohjois-Savo;8966;8937;;;;531716;6998995
2914;1403020;Ahveninen;W;Vedenkorkeus;14.722;Jatkuva;2.9.1975;31.12.2025;Pohjois-Savo;39;10;;0;;492392;6977855
2951;0403031;Naarajärvi;W;Vedenkorkeus;04.284;Jatkuva;6.4.2001;30.12.2025;Pohjois-Savo;11972;11943;;;;511229;6977108
2953;1700500;Ilolanjoki, Ilolan silta;W;Vedenkorkeus;17.001;Jatkuva;8.1.1996;18.1.2026;Uusimaa;532;507;;;;431478;6702706
2961;8102600;Pitkäjärvi;W;Vedenkorkeus;81.055;Jatkuva;2.4.1946;3.12.2025;Uusimaa;1824;1800;;;;375419;6681056
2966;1700600;Tiiläänjärvi;W;Vedenkorkeus;17.005;Jatkuva;27.1.1983;8.1.2026;Uusimaa;1598;1573;;;;428931;6711393
2973;2300210;Pitkäjärvi, meijerin laituri;W;Vedenkorkeus;23.071;Jatkuva;7.1.1998;19.1.2026;Uusimaa;4093;4067;;;;326357;6703528
2976;2300200;Pusulanjärvi eli Jäämäjärvi, luusua;W;Vedenkorkeus;23.062;Jatkuva;1.1.1977;19.1.2026;Uusimaa;3803;3777;;3768;;333260;6705175
2978;1500600;Taasianjoki, Holmankoski;W;Vedenkorkeus;15.002;Jatkuva;1.1.1980;18.1.2026;Uusimaa;416;393;;389;;462309;6705645
2980;1601100;Koskenkylänjoki, Niinikoski;W;Vedenkorkeus;16.001;Jatkuva;25.3.1981;18.1.2026;Uusimaa;654;629;;;;441784;6709324
2985;8102000;Loviisanjoki, urheilukenttä;W;Vedenkorkeus;81.027;Jatkuva;2.2.1996;19.1.2026;Uusimaa;211;188;;;;457388;6703376
2986;2200100;Enäjärvi, Hulttilanjoki;W;Vedenkorkeus;22.004;Jatkuva;1.1.1977;18.1.2026;Uusimaa;4942;4917;;;;357767;6694620
2990;2300240;Nummenjoki, Pirkkula;W;Vedenkorkeus;23.061;Jatkuva;9.6.1981;19.1.2026;Uusimaa;3326;3300;;;;331139;6698253
2992;2300340;Vihtijärvi, Sorvarinjoki;W;Vedenkorkeus;23.092;Jatkuva;8.1.1983;18.1.2026;Uusimaa;8646;8621;;;;366992;6712266
3002;2000200;Sipoonjoki, Brobölen pato;W;Vedenkorkeus;20.001;Jatkuva;19.5.1981;18.1.2026;Uusimaa;431;;;400;;404193;6691707
3005;8102800;Espoonjoki;W;Vedenkorkeus;81.055;Jatkuva;24.3.1995;19.1.2026;Uusimaa;85;60;;;;366548;6674534
3015;2104700;Luhtajoki (Hagalund);W;Vedenkorkeus;21.051;Jatkuva;7.1.1997;19.1.2026;Uusimaa;2694;2669;;;;377872;6692514
3017;2104900;Lepsämänjoki;W;Vedenkorkeus;21.041;Jatkuva;1.4.1996;19.1.2026;Uusimaa;2726;2701;;;;376269;6690506
3021;0410440;Purnujärvi;W;Vedenkorkeus;04.193;Jatkuva;15.5.1977;18.1.2026;Etelä-Karjala;6786;6767;;;;612033;6791032
3025;0900100;Urpalanjärvi;W;Vedenkorkeus;09.006;Jatkuva;1.3.1964;19.1.2026;Etelä-Karjala;6006;5985;;5980;;544108;6756269
3026;0900200;Suurijärvi;W;Vedenkorkeus;09.002;Jatkuva;1.1.1965;18.1.2026;Etelä-Karjala;2631;2610;;;;551065;6730101
3027;1300200;Enäjärvi-Sanijärvi;W;Vedenkorkeus;13.002;Jatkuva;1.10.1973;18.1.2026;Kymenlaakso;5129;5108;5100;;;507392;6744113
3028;1300100;Saaramaanjärvi;W;Vedenkorkeus;13.003;Jatkuva;1.10.1973;18.1.2026;Kymenlaakso;6421;6400;6393;;;516111;6745438
3031;1411210;Ahvenkoski ylä;W;Vedenkorkeus;14.111;Jatkuva;1.3.2001;17.1.2026;Kymenlaakso;28;;0;;;469853;6706545
3032;1411240;Ahvenkoski ala;W;Vedenkorkeus;81V024;Jatkuva;1.3.2001;17.1.2026;Kymenlaakso;28;;0;;;469853;6706505
3034;1409710;Värälä;W;Vedenkorkeus;14.113;Jatkuva;3.1.1974;17.1.2026;Kymenlaakso;31;;0;;;484611;6744407
3035;1410910;Ediskoski ylä (stockfors);W;Vedenkorkeus;14.111;Jatkuva;1.3.1975;17.1.2026;Kymenlaakso;28;;0;;;474395;6707440
3036;1411140;Stråka ylä;W;Vedenkorkeus;14.111;Jatkuva;1.3.1975;17.1.2026;Kymenlaakso;28;;0;;;476127;6703947
3037;1411100;Klåsarö, ylävesi;W;Vedenkorkeus;14.111;Jatkuva;1.3.1975;17.1.2026;Kymenlaakso;28;;0;;;473961;6710638
3040;1408910;Kannus- eli Ruokokoski, ylä;W;Vedenkorkeus;14.183;Jatkuva;1.3.1975;17.1.2026;Kymenlaakso;22;0;;;;513235;6758940
3041;1408920;Kannus- eli  Ruokokoski, ala;W;Vedenkorkeus;14.183;Jatkuva;1.3.1975;17.1.2026;Kymenlaakso;22;0;;;;513220;6758914
3045;2101500;Vantaa, Ylikylä;W;Vedenkorkeus;21.021;Jatkuva;19.3.2002;19.1.2026;Uusimaa;2905;2880;;;;381635;6701597
3049;5300110;Reis-Vuohtajärvi;W;Vedenkorkeus;53.053;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;398311;7054513
3050;5300330;Settijärvi;W;Vedenkorkeus;53.072;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;422649;7080520
3051;5300230;Kuonanjärvi;W;Vedenkorkeus;53.082;Jatkuva;1.1.1976;18.1.2026;Pohjois-Pohjanmaa;38;0;;;;431196;7067457
