paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2939;1407413;Säytjärvi;W;Vedenkorkeus;14.937;Lopetettu;23.3.1976;28.12.2009;Etelä-Savo;11251.0;11224.0;;;
2940;1407411;Ala- Siili;W;Vedenkorkeus;14.935;Lopetettu;23.5.1979;30.6.2020;Etelä-Savo;11286.0;11258.0;;;
2941;1406811;Ylä- Rääveli;W;Vedenkorkeus;14.172;Lopetettu;9.4.1981;30.9.2008;Etelä-Savo;8159.0;8134.0;;;
2942;1403404;Tuomiojärvi;W;Vedenkorkeus;14.785;Lopetettu;16.5.1990;30.12.2009;Etelä-Savo;10108.0;10080.0;;;
2943;1407422;Asonlampi;W;Vedenkorkeus;14.964;Lopetettu;5.9.1983;31.10.2009;Etelä-Savo;12330.0;12302.0;;;
2944;1407421;Iso- Kylmä;W;Vedenkorkeus;14.964;Lopetettu;1.4.1985;10.12.2009;Etelä-Savo;13707.0;13679.0;;;
2945;1403521;Vehkalampi;W;Vedenkorkeus;14.795;Lopetettu;1.4.1985;21.11.2008;Etelä-Savo;11950.0;11922.0;;;
2946;1403522;Uuhilampi;W;Vedenkorkeus;14.795;Lopetettu;4.4.1985;27.9.2022;Etelä-Savo;11916.0;11888.0;;;
2949;0406130;Kangaslampi;W;Vedenkorkeus;04.516;Lopetettu;21.2.2002;30.12.2009;Pohjois-Savo;9662.0;9632.0;;;
2950;0408210;Immolanjärvi;W;Vedenkorkeus;04.214;Lopetettu;1.3.2002;31.12.2008;Pohjois-Savo;8293.0;8268.0;;;
2952;1403030;Tallusjärvi;W;Vedenkorkeus;14.772;Lopetettu;1.4.2002;15.11.2014;Pohjois-Savo;10455.0;10425.0;;;
2955;1800100;Kanteleenjärvi;W;Vedenkorkeus;18.036;Lopetettu;2.8.2000;1.12.2010;Uusimaa;4425.0;4400.0;;;
2958;8103500;Tampaja;W;Vedenkorkeus;81.057;Lopetettu;4.7.1994;20.11.2005;Uusimaa;4783.0;4758.0;;;
2960;1500400;Taasianjoki, Heikinkylä;W;Vedenkorkeus;15.002;Lopetettu;24.10.1989;30.9.2015;Uusimaa;1616.0;1592.0;;1587.0;
2962;1600200;Sävträsk, ylä;W;Vedenkorkeus;16.001;Lopetettu;17.4.1985;29.12.2015;Uusimaa;1310.0;1285.0;;1280.0;
2963;2300120;Saarijärvi;W;Vedenkorkeus;23.063;Lopetettu;3.9.1947;20.11.2008;Uusimaa;11732.0;11706.0;;;
2964;1600800;Syväjärvi;W;Vedenkorkeus;16.002;Lopetettu;15.7.1993;13.12.2015;Uusimaa;4425.0;4400.0;;;
2965;2300330;Ylimmäinen, Ali-Kärrinjoki;W;Vedenkorkeus;23.096;Lopetettu;27.3.1987;26.4.2011;Uusimaa;9655.0;9630.0;;;
2967;1900600;Suojärvi;W;Vedenkorkeus;19.005;Lopetettu;13.4.1949;25.11.2000;Uusimaa;8472.0;8447.0;;;
2968;2300230;Pusulanjoki, Hyvelän silta;W;Vedenkorkeus;23.061;Lopetettu;14.5.1997;30.7.2015;Uusimaa;3526.0;3500.0;;;
2971;2200800;Lilla Lonoks, Harvsån;W;Vedenkorkeus;22.008;Lopetettu;19.5.1998;15.11.2010;Uusimaa;2824.0;;;2792.0;
2972;2200900;Stora Lonoks;W;Vedenkorkeus;22.008;Lopetettu;1.1.1977;31.12.1995;Uusimaa;2897.0;;;2865.0;
2974;2105000;Salmijärvi, luusua;W;Vedenkorkeus;21.045;Lopetettu;3.1.1999;27.2.2013;Uusimaa;5130.0;5105.0;;;
2975;8103300;Djupström;W;Vedenkorkeus;81.061;Lopetettu;1.7.1998;30.12.2006;Uusimaa;116.0;90.0;;;
