paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2138;2200310;Palojärvenkoski;W;Vedenkorkeus;22.004;Jatkuva;1.1.1964;19.12.2025;Uusimaa;4659;4634;;;
2140;2200620;Siuntionjoki;W;Vedenkorkeus;22.002;Jatkuva;15.8.1975;19.12.2025;Uusimaa;308;282;273;;
2141;2300100;Vanjoki;W;Vedenkorkeus;23.042;Jatkuva;22.8.1912;18.12.2025;Uusimaa;3195;3170;;3161;
2143;2300150;Punelia;W;Vedenkorkeus;23.053;Jatkuva;1.1.1971;19.12.2025;Kanta-Häme;36;10;;0;
2146;2300500;Hiidenvesi;W;Vedenkorkeus;23.031;Jatkuva;7.10.1910;19.12.2025;Uusimaa;38;13;0;;
2149;2300900;Lohjanjärvi, Lohja;W;Vedenkorkeus;23.021;Jatkuva;13.4.1900;19.12.2025;Uusimaa;36;11;0;;
2154;2500400;Kaukolankoski;W;Vedenkorkeus;25.002;Jatkuva;1.3.1970;19.12.2025;Varsinais-Suomi;1619;1591;;;
2156;2700110;Painionjärvi;W;Vedenkorkeus;27.042;Jatkuva;1.1.1965;19.12.2025;Varsinais-Suomi;12;-15;;-26;
2322;4700300;Lappajärvi, Niska;W;Vedenkorkeus;47.023;Jatkuva;22.4.1905;19.12.2025;Etelä-Pohjanmaa;6729;6689;;;
2324;4700320;Lappajärvi, Halkosaari;W;Vedenkorkeus;47.031;Jatkuva;1.1.1963;19.12.2025;Etelä-Pohjanmaa;53;14;;0;
2326;4700420;Evijärvi, Joensuu;W;Vedenkorkeus;47.021;Jatkuva;1.1.1969;19.12.2025;Etelä-Pohjanmaa;41;0;;-14;
2327;4700430;Evijärvi, Kaarenhaara, Alavesi;W;Vedenkorkeus;47.015;Jatkuva;1.1.1964;19.12.2025;Etelä-Pohjanmaa;6017;5976;;;
2328;4800100;Kruunupyy;W;Vedenkorkeus;48.001;Jatkuva;1.1.1990;19.12.2025;Pohjanmaa;45;2;;;
2330;4900300;Tunkkari;W;Vedenkorkeus;49.024;Jatkuva;1.8.1978;19.12.2025;Keski-Pohjanmaa;6141;6101;;;
2332;4900410;Lahnakoski;W;Vedenkorkeus;49.021;Jatkuva;1.10.1985;19.12.2025;Keski-Pohjanmaa;43;15;;0;
2334;5000300;Hyyppä;W;Vedenkorkeus;50.002;Jatkuva;1.3.1966;19.12.2025;Keski-Pohjanmaa;684;642;;;
2336;5100200;Lestijärvi;W;Vedenkorkeus;51.032;Jatkuva;14.2.1919;19.12.2025;Keski-Pohjanmaa;14080;14041;;14028;
2338;5100500;Saarenpää;W;Vedenkorkeus;51.012;Jatkuva;1.8.1978;19.12.2025;Keski-Pohjanmaa;2460;2419;;;
2340;5300200;Haapajärvi;W;Vedenkorkeus;53.043;Jatkuva;1.1.1913;19.12.2025;Pohjois-Pohjanmaa;48;13;;0;
2342;5300220;Hautaperä;W;Vedenkorkeus;53.081;Jatkuva;1.1.1976;19.12.2025;Pohjois-Pohjanmaa;48;13;;0;
2343;5300400;Malisjoki;W;Vedenkorkeus;53.061;Jatkuva;1.9.1985;19.12.2025;Pohjois-Pohjanmaa;7613;7575;;;
2349;5300740;Niskakoski;W;Vedenkorkeus;53.021;Jatkuva;11.11.1970;19.12.2025;Pohjois-Pohjanmaa;2868;2826;;;
2352;5400100;Pyhäjärvi, Pyhäsalmi;W;Vedenkorkeus;54.051;Jatkuva;17.2.1919;19.12.2025;Pohjois-Pohjanmaa;13838;13805;13774;13793;
2355;5400200;Haapajärvi;W;Vedenkorkeus;54.031;Jatkuva;1.9.1931;19.12.2025;Pohjois-Pohjanmaa;40;0;;;
2360;5400410;Tolpankoski;W;Vedenkorkeus;54.011;Jatkuva;16.5.1983;19.12.2025;Pohjois-Pohjanmaa;42;0;;;
2361;5700130;Lamujoki;W;Vedenkorkeus;57.061;Jatkuva;28.10.1975;19.12.2025;Pohjois-Pohjanmaa;6529;6490;;6477;
2363;5700250;Uljua;W;Vedenkorkeus;57.023;Jatkuva;1.5.1970;19.12.2025;Pohjois-Pohjanmaa;52;;;0;
2365;5700410;Harjunniva;W;Vedenkorkeus;57.013;Jatkuva;1.5.1958;19.12.2025;Pohjois-Pohjanmaa;4469;4429;4394;;
2366;5700700;Länkelä;W;Vedenkorkeus;57.011;Jatkuva;23.10.1935;19.12.2025;Pohjois-Pohjanmaa;1705;1663;1626;;
2367;5900110;Hossanjärvi;W;Vedenkorkeus;59.522;Jatkuva;11.9.1962;19.12.2025;Kainuu;21362;21332;;;
2368;5900160;Piispajärvi-Vellijärvi;W;Vedenkorkeus;59.572;Jatkuva;6.2.1975;19.12.2025;Kainuu;24727;24697;;;
2369;5900180;Pesiöjärvi;W;Vedenkorkeus;59.541;Jatkuva;13.6.1979;19.12.2025;Kainuu;21293;21263;;;
2372;5900220;Kiantajärvi, Ämmänsaari;W;Vedenkorkeus;59.511;Jatkuva;1.1.1961;18.12.2025;Kainuu;62;32;0;;
2374;5900360;Palojärvi;W;Vedenkorkeus;59.632;Jatkuva;19.10.1976;19.12.2025;Kainuu;20428;20400;;;
2375;5900400;Vuokkijärvi, Sanki;W;Vedenkorkeus;59.621;Jatkuva;22.11.1938;18.12.2025;Kainuu;61;32;0;;
2377;5900510;Niemelänjärvi;W;Vedenkorkeus;59.721;Jatkuva;1.1.1976;19.12.2025;Kainuu;16223;16195;;;
2378;5900610;Hyrynjärvi;W;Vedenkorkeus;59.431;Jatkuva;1.1.1950;18.12.2025;Kainuu;42;13;;0;
2379;5900700;Iso-Pyhäntä;W;Vedenkorkeus;59.482;Jatkuva;1.1.1961;18.12.2025;Kainuu;64;34;0;;
